Url,Brand,Model,Movement,Limited,Case Material,Glass,Case Back,Case Shape,Case Diameter,Water Resistance,Dial Color,Dial Indexes,Dial Hands,Price
https://watchbase.com/patek-philippe/twenty-4/4920r-010,Patek Philippe,Twenty~4,Patek Philippe caliber E15,No,Rose Gold,Sapphire,Closed,Rectangular,25.1,30.0,White,Mixed,Feuille,18730.0
https://watchbase.com/patek-philippe/twenty-4/7300-1200a-010,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Stainless Steel,Sapphire,Open,Round,36.0,30.0,Black,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/7340-1r-010,Patek Philippe,Twenty~4,Patek Philippe caliber 240 Q,No,Rose Gold,Sapphire,Open,Round,36.0,30.0,Green,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/7340-1r-001,Patek Philippe,Twenty~4,Patek Philippe caliber 240 Q,No,Rose Gold,Sapphire,Open,Round,36.0,30.0,Silver,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/pocket-watches/992-165j,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,Yellow Gold,Sapphire,Hinged,Round,44.1,100.0,White,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-166r,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,Rose Gold,Sapphire,Hinged,Round,44.1,100.0,White,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/980j-011,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' SAV PS,No,Yellow Gold,Sapphire,Hinged,Round,48.0,100.0,Silver,Arabic Numerals,Breguet,
https://watchbase.com/patek-philippe/pocket-watches/980r-001,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' SAV PS,No,Rose Gold,Sapphire,Hinged,Round,48.0,100.0,White,Arabic Numerals,Breguet,
https://watchbase.com/patek-philippe/pocket-watches/982-143g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS IRM,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,Blue,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/982-130j,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS IRM,Yes,Yellow Gold,Sapphire,Hinged,Round,44.1,100.0,Purple,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-164g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,White,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-111g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,White,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-115j,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,Yellow Gold,Sapphire,Hinged,Round,44.1,100.0,White,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/995-107g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,White,Stick / Dot,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-116j,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,Yellow Gold,Sapphire,Hinged,Round,44.1,100.0,Red,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/995-132j,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,Beige,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/992-146g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,No,White Gold,Sapphire,Hinged,Round,44.1,100.0,Black,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/995-133r,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,Blue,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/pocket-watches/982-178g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS IRM,Yes,White Gold,Sapphire,Hinged,Round,44.1,100.0,Silver,Arabic Numerals,Feuille,
