Url,Brand,Family,Reference,Name,Movement,Produced,Limited,Case_Material,Glass,Case_Back,Case_Shape,Case_Diameter,Lug_Width,Water_Resistance,Dial_Color,Dial_Finish,Dial_Indexes,Dial_Hands,Price
https://watchbase.com/patek-philippe/gondolo/5111g-001,Patek Philippe,Gondolo,5111G-001,Gondolo 5111 White Gold,Patek Philippe caliber 215 PS,,No,White Gold,Sapphire,Closed,Rectangular,30.00 mm,,30.00 m,Silver,,Arabic Numerals,Poire,N/A
https://watchbase.com/patek-philippe/gondolo/7041r-001,Patek Philippe,Gondolo,7041R-001,Gondolo 7041 Rose Gold / Silver,Patek Philippe caliber 215 PS,,No,White Gold,Sapphire,Open,Cushion,30.00 mm,,30.00 m,Silver,Matte,Roman Numerals,Feuille,N/A
https://watchbase.com/patek-philippe/gondolo/5098r-001,Patek Philippe,Gondolo,5098R-001,Gondolo 5098R,Patek Philippe caliber 25-21 REC,2009,No,Rose Gold,Sapphire,Open,Tonneau,32.00 mm,,30.00 m,Silver,Guilloche,Arabic Numerals,Poire,34000
https://watchbase.com/patek-philippe/gondolo/4973g-001,Patek Philippe,Gondolo,4973G-001,Gondolo Serata 4973 White Gold / Mother of Pearl,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Other,27.40 mm,,30.00 m,White,Guilloche,Arabic Numerals,Feuille,45000
https://watchbase.com/patek-philippe/gondolo/5111pr-001,Patek Philippe,Gondolo,5111PR-001,Gondolo 5111 Platinum / Rose Gold,Patek Philippe caliber 215 PS,,No,,Sapphire,Closed,Rectangular,30.00 mm,,30.00 m,Silver,,Arabic Numerals,Poire,N/A
https://watchbase.com/patek-philippe/gondolo/5124j-001,Patek Philippe,Gondolo,5124J-001,Gondolo 5124 Yellow Gold / Silver,Patek Philippe caliber 25-21 REC PS,2015 - 2019,No,Yellow Gold,Sapphire,Open,Rectangular,33.40 mm,,30.00 m,Silver,,Stick / Dot,Dauphine,22400
https://watchbase.com/patek-philippe/gondolo/5200g-010,Patek Philippe,Gondolo,5200G-010,Gondolo 5200 White Gold / White,Patek Philippe caliber 28-20 REC 8J PS IRM C J,2013 - 2018,No,White Gold,Sapphire,Open,Rectangular,32.40 mm,,30.00 m,White,,Stick / Dot,Dauphine,N/A
https://watchbase.com/patek-philippe/gondolo/5101g-001,Patek Philippe,Gondolo,5101G-001,Gondolo 5101G,Patek Philippe caliber TO 28-20 REC 10J PS IRM,2011 - 2013,No,White Gold,Sapphire,Open,Rectangular,33.40 mm,,30.00 m,Blue,,Arabic Numerals,Dauphine,N/A
https://watchbase.com/patek-philippe/gondolo/5098p-001,Patek Philippe,Gondolo,5098P-001,Gondolo 5098,Patek Philippe caliber 25-21 REC,2007,No,Platinum,Sapphire,Open,Tonneau,32.00 mm,,30.00 m,Silver,Guilloche,Arabic Numerals,Poire,41050
https://watchbase.com/patek-philippe/gondolo/5200g-001,Patek Philippe,Gondolo,5200G-001,Gondolo 5200 White Gold / Blue,Patek Philippe caliber 28-20 REC 8J PS IRM C J,2013 - 2018,No,White Gold,Sapphire,Open,Rectangular,32.40 mm,,30.00 m,Blue,Sunburst,Stick / Dot,Dauphine,52100
https://watchbase.com/patek-philippe/gondolo/5124g-001,Patek Philippe,Gondolo,5124G-001,Gondolo 5124 Breguet,Patek Philippe caliber 25-21 REC PS,2013 - 2014,No,White Gold,Sapphire,Open,Rectangular,33.40 mm,,30.00 m,Beige,,Arabic Numerals,Dauphine,14910
https://watchbase.com/patek-philippe/gondolo/5124g-011,Patek Philippe,Gondolo,5124G-011,Gondolo 5124 White Gold / Blue,Patek Philippe caliber 25-21 REC PS,2015 - 2019,No,White Gold,Sapphire,Open,Rectangular,33.40 mm,,30.00 m,Blue,Sunburst,Stick / Dot,Dauphine,25700
https://watchbase.com/patek-philippe/golden-ellipse/5738-50p-001,Patek Philippe,Golden Ellipse,5738/50P-001,Golden Ellipse 5738 Platinum / Volute,Patek Philippe caliber 240,2018,"Yes, 100 units",Platinum,Sapphire,Closed,Rectangular,34.50 mm,,30.00 m,Black,Gloss,None,Stick,N/A
https://watchbase.com/patek-philippe/golden-ellipse/5738-51g-001,Patek Philippe,Golden Ellipse,5738/51G-001,Golden Ellipse 5738 White Gold / Arabesques and Volutes,Patek Philippe caliber 240,2021,No,White Gold,Sapphire,Closed,Rectangular,34.50 mm,,30.00 m,Black,Guilloche,None,Stick,N/A
